CMDLINE .\tauri-counter-app.exe
CHLD 1 7.484375 1660495621.0038
CHLD 2 83.621094 1660495621.0038
CHLD 3 25.714844 1660495621.0038
CHLD 4 18.191406 1660495621.0038
CHLD 5 62.250000 1660495621.0038
CHLD 6 17.402344 1660495621.0038
MEM 330.988281 1660495621.1242
CHLD 0 97.148438 1660495621.1282
CHLD 1 7.484375 1660495621.1282
CHLD 2 83.621094 1660495621.1282
CHLD 3 25.714844 1660495621.1282
CHLD 4 18.191406 1660495621.1282
CHLD 5 62.250000 1660495621.1282
CHLD 6 17.402344 1660495621.1282
MEM 330.988281 1660495621.2474
CHLD 0 97.148438 1660495621.2514
CHLD 1 7.484375 1660495621.2514
CHLD 2 83.621094 1660495621.2514
CHLD 3 25.714844 1660495621.2514
CHLD 4 18.191406 1660495621.2514
CHLD 5 62.250000 1660495621.2514
CHLD 6 17.402344 1660495621.2514
MEM 330.988281 1660495621.3698
CHLD 0 97.148438 1660495621.3728
CHLD 1 7.484375 1660495621.3738
CHLD 2 83.621094 1660495621.3738
CHLD 3 25.714844 1660495621.3738
CHLD 4 18.191406 1660495621.3738
CHLD 5 62.250000 1660495621.3738
CHLD 6 17.402344 1660495621.3738
MEM 330.988281 1660495621.4959
CHLD 0 97.148438 1660495621.4999
CHLD 1 7.484375 1660495621.4999
CHLD 2 83.621094 1660495621.4999
CHLD 3 25.714844 1660495621.4999
CHLD 4 18.191406 1660495621.4999
CHLD 5 62.250000 1660495621.4999
CHLD 6 17.402344 1660495621.4999
MEM 330.859375 1660495621.6192
CHLD 0 97.019531 1660495621.6232
CHLD 1 7.484375 1660495621.6232
CHLD 2 83.621094 1660495621.6232
CHLD 3 25.714844 1660495621.6232
CHLD 4 18.191406 1660495621.6232
CHLD 5 62.250000 1660495621.6232
CHLD 6 17.402344 1660495621.6232
MEM 330.984375 1660495621.7407
CHLD 0 97.035156 1660495621.7447
CHLD 1 7.484375 1660495621.7447
CHLD 2 83.621094 1660495621.7447
CHLD 3 25.714844 1660495621.7447
CHLD 4 18.191406 1660495621.7447
CHLD 5 62.339844 1660495621.7447
CHLD 6 17.402344 1660495621.7447
MEM 331.082031 1660495621.8487
CHLD 0 97.039062 1660495621.8527
CHLD 1 7.484375 1660495621.8527
CHLD 2 83.621094 1660495621.8527
CHLD 3 25.714844 1660495621.8527
CHLD 4 18.191406 1660495621.8527
CHLD 5 62.433594 1660495621.8527
CHLD 6 17.402344 1660495621.8527
MEM 331.230469 1660495621.9640
CHLD 0 97.039062 1660495621.9680
CHLD 1 7.484375 1660495621.9680
CHLD 2 83.621094 1660495621.9680
CHLD 3 25.714844 1660495621.9680
CHLD 4 18.191406 1660495621.9680
CHLD 5 62.582031 1660495621.9680
CHLD 6 17.402344 1660495621.9680
MEM 331.289062 1660495622.0848
CHLD 0 97.042969 1660495622.0878
CHLD 1 7.484375 1660495622.0878
CHLD 2 83.632812 1660495622.0878
CHLD 3 25.714844 1660495622.0888
CHLD 4 18.191406 1660495622.0888
CHLD 5 62.625000 1660495622.0888
CHLD 6 17.402344 1660495622.0888
MEM 331.343750 1660495622.1957
CHLD 0 97.042969 1660495622.1997
CHLD 1 7.484375 1660495622.1997
